nb_id,repo_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,e_keywords,p_keywords,s_keywords,is_education,language
900493,85972539,,,False,,0.991817785440587,0.4,0.0,3,0.5,0,0,0,False,python
322852,45655960,False,False,False,False,0.029943930572580803,0.0,0.4,2,,0,1,0,False,python
457759,27685708,True,False,False,False,,0.6666666666666666,0.25,1,1.0,0,0,1,False,python
672138,92749043,True,False,False,False,1.0,0.6956521739130435,0.08,1,0.3125,0,0,0,False,python
103154,30734070,False,False,False,False,,0.6383928571428571,0.25742574257425743,1,0.006993006993006993,1,0,0,False,python
650422,73549259,,,False,,0.6015414549212741,0.64,0.0,1,0.75,0,0,0,False,python
1180210,34783875,,,False,,0.902570185049303,0.75,0.0,2,0.16666666666666666,0,0,0,False,python
128841,52626322,True,False,False,False,1.0,0.6666666666666666,0.4230769230769231,0,0.2,0,0,0,False,python
498462,61883811,False,True,False,False,0.17057449235683322,0.6521739130434783,0.41025641025641024,1,0.7333333333333333,0,0,0,False,python
946708,52626322,False,False,False,False,1.0,0.2857142857142857,0.3,0,0.0,0,0,0,False,python
169741,69056869,,,False,,1.0,0.45454545454545453,0.0,1,0.4,0,0,0,False,python
625482,20816340,False,False,True,True,0.4750118093273788,0.6,0.8,1,0.0,0,0,0,True,python
933622,39964941,,,False,,0.5809788849154887,0.0,0.0,1,,0,0,0,True,python
116896,66478811,False,True,False,False,0.02091033454450188,0.5555555555555556,0.4,1,0.2,0,0,2,False,
259948,45655960,False,False,False,False,0.029943930572580803,0.4,0.375,2,0.25,1,0,0,False,python
1102235,60057963,True,False,False,False,0.960789567070637,0.3333333333333333,0.5,1,0.0,0,0,0,True,c++
718440,94522055,,,False,,1.0,0.5,0.0,1,0.0,0,0,0,False,python
329885,34647497,,,False,,0.9635840609523764,0.5,0.0,1,0.0,1,0,0,False,
464580,74897953,True,True,False,True,0.9999679560239569,0.375,0.5616438356164384,1,0.6666666666666666,0,0,0,True,python
1024456,94304084,,,False,,0.5339879274055835,0.0,0.0,1,,0,0,0,False,python
